video_id,title,published_at,year,duration,view_count,like_count,comment_count,channel_title,category_id,tags,description,placings
IPH7MOLr004,Yaaran Ve,2025-08-24T03:30:35Z,2025,PT47S,8905,301.0,5.0,Harjot Hundal (Gabroo Tv),24,,"Not just a team, but yaaran ve✨#bhangra #gabrootv #lalkaarebhangra #backtotheroots #21yearsofgtv",None
_eaWffNQLJ4,Kohinoor Vehre Diyan Raunkan at GHG Bhangra 2025,2025-08-02T05:28:13Z,2025,PT8M55S,4778,69.0,3.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"--

www.gabroo.tv - The largest Bhangra Library in the world, serving the community since 2004",None
Tgf_Qj1AiKA,Riverside Bhangra at GHG Bhangra 2025,2025-08-02T05:27:34Z,2025,PT8M47S,2359,33.0,2.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"--

www.gabroo.tv - The largest Bhangra Library in the world, serving the community since 2004",None
cp3R3nF7l7k,Dope sequence 🫡,2025-07-31T17:17:44Z,2025,PT1M,30961,2063.0,19.0,Harjot Hundal (Gabroo Tv),24,,#bhangra #gabrootv #ghgbhangra#shaunkjawanida #21yearsofgtv #gurpreetguni,None
lcPNNuNRfVw,Gabroo Unit - Third Place at GHG Bhangra 2025,2025-07-31T05:29:16Z,2025,PT9M17S,6435,81.0,2.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Gabroo Unit (representing Northern California, USA) with their Third Place performance at GHG Bhangra 2025.

GHG Bhangra 2025 took place on July 26 2025, at the William Saroyan Theater, in Fresno, California, USA. GHG Bhangra is a free event with the aim of preserving and promoting Punjabi culture in and around California's Central Valley.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #ghgbhangra #gabroounit",Third
CeP0dhc7lJw,GOT Bhangra at GHG Bhangra 2025,2025-07-31T05:19:04Z,2025,PT9M3S,3380,49.0,4.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is GOT Bhangra (representing Southern California, USA) with their performance at GHG Bhangra 2025.

GHG Bhangra 2025 took place on July 26 2025, at the William Saroyan Theater, in Fresno, California, USA. GHG Bhangra is a free event with the aim of preserving and promoting Punjabi culture in and around California's Central Valley.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #ghgbhangra #gotbhangra",None
R_14iH0B2FE,Shaunk Jawani Da - Second Place at GHG Bhangra 2025,2025-07-31T05:04:20Z,2025,PT8M55S,22570,665.0,14.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Shaunk Jawani Da with their Second Place performance at GHG Bhangra 2025.

GHG Bhangra 2025 took place on July 26 2025, at the William Saroyan Theater, in Fresno, California, USA. GHG Bhangra is a free event with the aim of preserving and promoting Punjabi culture in and around California's Central Valley.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #ghgbhangra #shaunkjawanida",Second
k9TmV6UUOgA,Insane drop!,2025-07-30T06:30:59Z,2025,PT43S,16899,667.0,3.0,Harjot Hundal (Gabroo Tv),24,,#bhangra #gabrootv #ghgbhangra #apnabhangracrew #21yearsofgtv #misspooja,None
LdDNvOsO1bM,Apna Bhangra Crew - First Place at GHG Bhangra 2025,2025-07-30T06:12:29Z,2025,PT8M37S,39424,440.0,26.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Apna Bhangra Crew (representing ABC Dance Center in Seattle, Washington, USA) with their First Place performance at GHG Bhangra 2025.

GHG Bhangra 2025 took place on July 26 2025, at the William Saroyan Theater, in Fresno, California, USA. GHG Bhangra is a free event with the aim of preserving and promoting Punjabi culture in and around California's Central Valley.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #ghgbhangra #apnabhangracrew #abcdancecenter",First
L2Z6vidWQMg,Shan E Punjab Arts Club at Bhangra Revolution 2025,2025-04-25T20:00:18Z,2025,PT10M27S,11332,126.0,6.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Shan E Punjab Arts Club at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #shanepunjab",None
y1fzEOOh_W8,Rangla Punjab Toronto at Bhangra Revolution 2025,2025-04-24T04:43:20Z,2025,PT12M4S,6101,73.0,1.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Rangla Punjab Toronto (representing Nachdi Jawani Toronto) at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #nachdijawani #ranglapunjab #ranglapunjabtoronto",None
HcjFFop7w_k,Royal Academy of Punjab (Royal Gabroo Jawan) at Bhangra Revolution 2025,2025-04-24T04:43:03Z,2025,PT11M8S,9555,102.0,5.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Royal Academy of Punjab at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #royalacademy #royalacademyofpunjab #royaljawangabroo",None
nxrWxmR2B2Q,Surrey India Arts Club at Bhangra Revolution 2025,2025-04-24T04:42:55Z,2025,PT12M26S,2158,37.0,1.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Surrey India Arts Club at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #siac #siacbhangra #surreyindia #surreyindiaartsclub",None
kkDMF1ew1mE,Vancity Bhangra at Bhangra Revolution 2025,2025-04-24T04:42:34Z,2025,PT11M30S,4464,63.0,7.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Vancity Bhangra at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #vancitybhangra #vancitydance",None
HesRvYJSdzw,Punjabi Heritage Folk at Bhangra Revolution 2025,2025-04-24T04:42:18Z,2025,PT12M59S,4056,46.0,4.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Punjabi Heritage Folk (PHF Edmonton) at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #phfedmonton #punjabiheritage #punjabiheritagefolk",None
c8xQNcZMnNQ,Shan E Punjab Arts Club - First Place Giddha Category at Bhangra Revolution 2025,2025-04-17T06:11:46Z,2025,PT12M14S,688829,4259.0,43.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Shan E Punjab Arts Club Giddha (representing Surrey, British Columbia, Canada) with their First Place performing in the Giddha category at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #shanepunjab #shanepunjabartsclub",First
Vz1RcBa1Pjo,Mission Punj-aab Culture Club at Bhangra Revolution 2025,2025-04-17T06:09:38Z,2025,PT12M27S,200710,1186.0,10.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Mission Punj-aab Culture Club (representing Surrey, British Columbia, Canada) at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #royalacademy #missionpunjab #missionpunj-aab #gidha #giddha",None
loPj6qoepUg,Virasti Chhankaar Academy at Bhangra Revolution 2025,2025-04-17T06:07:40Z,2025,PT12M8S,95162,890.0,10.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Virasti Chhankaar Academy (representing Calgary, Alberta, Canada) at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #virasti #virastichhankaaracademy #gidha #giddha",None
83SJ89LDlNk,Royal Academy of Punjab's Royal Diyan Raniyan at Bhangra Revolution 2025,2025-04-17T06:04:58Z,2025,PT11M20S,38873,370.0,3.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Royal Diyan Raniyan (representing Surrey, British Columbia, Canada) at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #royalacademy #royalacademyofpunjab #royaldiyanraniyan #gidha #giddha",None
ZLWjMhXfUsk,Folk Stars Arts Academy at Bhangra Revolution 2025,2025-04-17T06:02:12Z,2025,PT10M28S,2483,23.0,0.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Folk Stars Arts Academy (representing Surrey, British Columbia, Canada) at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #folkstars #folkstarsartsacademy",None
BqGEUFc4TeA,Raakhe Virse De (RVD) Joshiley at Maryland Mauj 2025,2025-04-16T02:47:54Z,2025,PT7M54S,2391,45.0,1.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Raakhe Virse De (RVD) Joshiley (representing RVD Academy in Wayne County, Michigan, USA) with their performance at Maryland Mauj 2025.

Maryland Mauj took place on March 8 2025, at the Bowie Center for Performing Arts, in Bowie, Maryland, USA.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #marylandmauj #rvdjoshiley #rvdacademy #raakhevirsede",None
kc-HaSai9OA,Kohinoor Mastane Dhol De at Bhangra Revolution 2025,2025-04-16T02:47:23Z,2025,PT12M29S,1039,12.0,0.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Kohinoor Mastane Dhol De (representing Surrey, British Columbia, Canada) at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #kohinoor #kohinoorfolkartsclub",None
9reXepxxjDU,Shan E Punjab Arts Club at Bhangra Revolution 2025,2025-04-12T08:27:42Z,2025,PT10M28S,2871,27.0,1.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Shan E Punjab Arts Club (representing Surrey, British Columbia, Canada) at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #shanepunjab",None
sBsUK0nERVU,Rooh Punjab Dee at Bhangra Revolution 2025,2025-04-12T08:27:03Z,2025,PT10M55S,2343,35.0,1.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Rooh Punjab Dee (representing Abbotsford, British Columbia, Canada) at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #roohpunjabdee",None
7oKwdE-4P8c,Royal Academy of Punjab - Royal Ankhi Gabru at Bhangra Revolution 2025,2025-04-12T08:23:35Z,2025,PT10M29S,1599,16.0,0.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Royal Ankhi Gabru, representing Royal Academy of Punjab (representing Surrey, British Columbia, Canada) at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #royalacademy #royalacademyofpunjab #royalankhigabru",None
6lrVDwK_NrY,Folk Crew Dance Academy - Live Bhangra Boys Category at 6IX City Bhangra 2025,2025-03-22T06:42:07Z,2025,PT11M33S,3258,24.0,1.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Folk Crew Dance Academy with their performance in the Live Bhangra Boys category at 6IX City Bhangra 2025.

6IX City Bhangra 2025 took place on March 16  2025, at the Flato Markham Theater, in Markham, Ontario, Canada. This was a junior competition, giving young dancers an opportunity and platform to perform and further their Bhangra and dancing careers.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #6ixcitybhangracup #folkcrew #folkcrewdanceacademy",None
Cagfsp3yVTM,Punjabi Heritage Folk - First Place Live Bhangra Boys Category at 6IX City Bhangra 2025,2025-03-22T05:53:35Z,2025,PT12M15S,12088,141.0,5.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Punjabi Heritage Folk with their First Place performance in the Live Bhangra Boys category at 6IX City Bhangra 2025.

6IX City Bhangra 2025 took place on March 16  2025, at the Flato Markham Theater, in Markham, Ontario, Canada. This was a junior competition, giving young dancers an opportunity and platform to perform and further their Bhangra and dancing careers.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #6ixcitybhangracup #phfedmonton #punjabiheritage #punjabiheritagefolk",First
El_Fi_U3qIk,Rangla Punjab Arts Academy Sherniyan - First Place Live Girls Category at 6IX City Bhangra 2025,2025-03-22T05:41:07Z,2025,PT10M42S,9584,108.0,7.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Rangla Punjab Arts Academies Sherniyan with their First Place performance in the Live Bhangra Girls category at 6IX City Bhangra 2025.

6IX City Bhangra 2025 took place on March 16  2025, at the Flato Markham Theater, in Markham, Ontario, Canada. This was a junior competition, giving young dancers an opportunity and platform to perform and further their Bhangra and dancing careers.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #6ixcitybhangracup #ranglapunjab #ranglapunjabartsacademy #sherniyan",First
GF5fhM3ziHU,Punjabi Folk Dance Academy - Second Place Live Bhangra Boys Category at 6IX City Bhangra 2025,2025-03-22T05:26:51Z,2025,PT11M29S,4437,54.0,2.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Punjabi Folk Dance Academy with their Second Place performance in the Live Bhangra Boys category at 6IX City Bhangra 2025.

6IX City Bhangra 2025 took place on March 16  2025, at the Flato Markham Theater, in Markham, Ontario, Canada. This was a junior competition, giving young dancers an opportunity and platform to perform and further their Bhangra and dancing careers.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #6ixcitybhangracup #pfda #punjabifolkdance #punjabifolkdanceacademy",Second
1W2wLmbCj6s,Nachde Punjabi Gabroo - Live Bhangra Boys Category at 6IX City Bhangra 2025,2025-03-22T05:26:19Z,2025,PT11M29S,1919,20.0,0.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Nachde Punjabi Gabroo with their performance in the Live Bhangra Boys category at 6IX City Bhangra 2025.

6IX City Bhangra 2025 took place on March 16  2025, at the Flato Markham Theater, in Markham, Ontario, Canada. This was a junior competition, giving young dancers an opportunity and platform to perform and further their Bhangra and dancing careers.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #6ixcitybhangracup #nachdepunjabi #nachdepunjabigabroo",None
_N27WgAv0jQ,GABROO IN LOVE ♥️♥️♥️ #bhangra #gabrootv #guni #sukhisamana #6ixcitybhangra  #virginiaschoofbhangra,2025-03-20T05:54:03Z,2025,PT47S,13679,561.0,7.0,Harjot Hundal (Gabroo Tv),24,,,None
uGIKQlyLopw,Virginia School of Bhangra - Third Place Live Bhangra Boys Category at 6IX City Bhangra 2025,2025-03-20T04:18:57Z,2025,PT11M43S,9787,144.0,13.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Virginia School of Bhangra with their Third Place performance in the Live Bhangra Boys category at 6IX City Bhangra 2025.

6IX City Bhangra 2025 took place on March 16  2025, at the Flato Markham Theater, in Markham, Ontario, Canada. This was a junior competition, giving young dancers an opportunity and platform to perform and further their Bhangra and dancing careers.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #6ixcitybhangracup #vsb #virginiaschoolofbhangra",Third
IZeV-bm3XeE,Folk Crew Dance Academy - Second Place Live Bhangra Girls Category at 6IX City Bhangra 2025,2025-03-20T04:08:50Z,2025,PT11M,2697,32.0,2.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Folk Crew Dance Academy with their Second Place performance in the Live Bhangra Girls category at 6IX City Bhangra 2025.

6IX City Bhangra 2025 took place on March 16  2025, at the Flato Markham Theater, in Markham, Ontario, Canada. This was a junior competition, giving young dancers an opportunity and platform to perform and further their Bhangra and dancing careers.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #6ixcitybhangracup #folkcrew #folkcrewdanceacademy",Second
oDuw_JHlmac,G9 Bhangra - Third Place Live Bhangra Girls Category at 6IX City Bhangra 2025,2025-03-20T03:59:23Z,2025,PT9M54S,2270,31.0,0.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is G9 Bhangra with their Third Place performance in the Live Bhangra Girls category at 6IX City Bhangra 2025.

6IX City Bhangra 2025 took place on March 16  2025, at the Flato Markham Theater, in Markham, Ontario, Canada. This was a junior competition, giving young dancers an opportunity and platform to perform and further their Bhangra and dancing careers.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #6ixcitybhangracup #g9 #g9bhangra",Third
OACBY9laBXY,Nachde Punjabi Ankhi Mutiyaran - Third Place Music Category at 6IX City Bhangra 2025,2025-03-20T03:42:01Z,2025,PT9M3S,2326,37.0,6.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Nachde Punjabi's Ankhi Mutiyaran, with their Third Place performance in the Music category at 6IX City Bhangra 2025.

6IX City Bhangra 2025 took place on March 16  2025, at the Flato Markham Theater, in Markham, Ontario, Canada. This was a junior competition, giving young dancers an opportunity and platform to perform and further their Bhangra and dancing careers.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #6ixcitybhangracup #nachdepunjabi #ankhimutiyaran",Third
U1TFFWGO85M,Ministry of Bhangra Chicago - First Place at Maryland Mauj 2025,2025-03-14T05:52:26Z,2025,PT8M36S,6019,90.0,15.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is the Ministry of Bhangra Chicago (representing Chicago, Illinois, USA) with their First Place performance at Maryland Mauj 2025.

Maryland Mauj took place on March 8 2025, at the Bowie Center for Performing Arts, in Bowie, Maryland, USA.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #marylandmauj #mobchicago #ministryofbhangra",First
MgwBAubM8iA,Gajjdi Jawani at Maryland Mauj 2025,2025-03-14T05:47:56Z,2025,PT7M19S,1282,13.0,0.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Gajjdi Jawani (representing Morrisville, North Carolina, USA) with their performance at Maryland Mauj 2025.

Maryland Mauj took place on March 8 2025, at the Bowie Center for Performing Arts, in Bowie, Maryland, USA.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #marylandmauj #gajjdijawani",None
T-eIIZggdl4,Mehfil Mitraan Di at Maryland Mauj 2025,2025-03-14T05:42:24Z,2025,PT8M2S,2979,42.0,0.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Mehfil Mitraan Di (representing Washington DC, USA) with their performance at Maryland Mauj 2025.

Maryland Mauj took place on March 8 2025, at the Bowie Center for Performing Arts, in Bowie, Maryland, USA.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #marylandmauj #mehfilmitraandi",None
